"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Number of people","Concentration"
"06","California","06003","Alpine","2002","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2002","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2002","100%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2003","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2003","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2003","100%","","2,725","Concentration: (not-detected)"
"06","California","06003","Alpine","2004","3%","","70","Concentration: (0-<=10)"
"06","California","06003","Alpine","2004","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2004","97%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2005","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2005","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2005","100%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2006","2%","","50","Concentration: (0-<=10)"
"06","California","06003","Alpine","2006","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2006","98%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2007","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2007","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2007","100%","","2,770","Concentration: (not-detected)"
"06","California","06003","Alpine","2008","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2008","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2008","100%","","2,751","Concentration: (not-detected)"
"06","California","06003","Alpine","2009","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2009","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2009","100%","","2,675","Concentration: (not-detected)"
"06","California","06003","Alpine","2010","3%","","70","Concentration: (0-<=10)"
"06","California","06003","Alpine","2010","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2010","97%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2011","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2011","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2011","100%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2012","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2012","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2012","100%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2013","2%","","70","Concentration: (0-<=10)"
"06","California","06003","Alpine","2013","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2013","98%","","2,751","Concentration: (not-detected)"
"06","California","06003","Alpine","2014","6%","","171","Concentration: (0-<=10)"
"06","California","06003","Alpine","2014","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2014","94%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2015","4%","","120","Concentration: (0-<=10)"
"06","California","06003","Alpine","2015","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2015","96%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2016","6%","","171","Concentration: (0-<=10)"
"06","California","06003","Alpine","2016","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2016","94%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2017","4%","","120","Concentration: (0-<=10)"
"06","California","06003","Alpine","2017","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2017","96%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2018","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2018","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2018","100%","","375","Concentration: (not-detected)"
"06","California","06003","Alpine","2019","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2019","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2019","100%","","745","Concentration: (not-detected)"
"06","California","06003","Alpine","2020","1%","","50","Concentration: (0-<=10)"
"06","California","06003","Alpine","2020","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2020","99%","","8,571","Concentration: (not-detected)"
"06","California","06005","Amador","1999","10%","","634","Concentration: (0-<=10)"
"06","California","06005","Amador","1999","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","1999","90%","","5,955","Concentration: (not-detected)"
"06","California","06005","Amador","2000","38%","","11,868","Concentration: (0-<=10)"
"06","California","06005","Amador","2000","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2000","62%","","19,598","Concentration: (not-detected)"
"06","California","06005","Amador","2001","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2001","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2001","100%","","5,955","Concentration: (not-detected)"
"06","California","06005","Amador","2002","29%","","2,416","Concentration: (0-<=10)"
"06","California","06005","Amador","2002","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2002","71%","","5,995","Concentration: (not-detected)"
"06","California","06005","Amador","2003","4%","","240","Concentration: (0-<=10)"
"06","California","06005","Amador","2003","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2003","97%","","6,620","Concentration: (not-detected)"
"06","California","06005","Amador","2004","3%","","160","Concentration: (0-<=10)"
"06","California","06005","Amador","2004","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2004","97%","","5,995","Concentration: (not-detected)"
"06","California","06005","Amador","2005","31%","","2,656","Concentration: (0-<=10)"
"06","California","06005","Amador","2005","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2005","69%","","5,995","Concentration: (not-detected)"
"06","California","06005","Amador","2006","94%","","5,970","Concentration: (0-<=10)"
"06","California","06005","Amador","2006","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2006","6%","","395","Concentration: (not-detected)"
"06","California","06005","Amador","2007","89%","","3,136","Concentration: (0-<=10)"
"06","California","06005","Amador","2007","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2007","11%","","395","Concentration: (not-detected)"
"06","California","06005","Amador","2008","84%","","2,626","Concentration: (0-<=10)"
"06","California","06005","Amador","2008","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2008","16%","","487","Concentration: (not-detected)"
"06","California","06005","Amador","2009","88%","","3,256","Concentration: (0-<=10)"
"06","California","06005","Amador","2009","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2009","12%","","457","Concentration: (not-detected)"
"06","California","06005","Amador","2010","88%","","3,266","Concentration: (0-<=10)"
"06","California","06005","Amador","2010","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2010","12%","","447","Concentration: (not-detected)"
"06","California","06005","Amador","2011","84%","","2,626","Concentration: (0-<=10)"
"06","California","06005","Amador","2011","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2011","16%","","487","Concentration: (not-detected)"
"06","California","06005","Amador","2012","85%","","2,500","Concentration: (0-<=10)"
"06","California","06005","Amador","2012","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2012","15%","","425","Concentration: (not-detected)"
"06","California","06005","Amador","2013","5%","","714","Concentration: (0-<=10)"
"06","California","06005","Amador","2013","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2013","95%","","14,786","Concentration: (not-detected)"
"06","California","06005","Amador","2014","5%","","714","Concentration: (0-<=10)"
"06","California","06005","Amador","2014","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2014","95%","","14,786","Concentration: (not-detected)"
"06","California","06005","Amador","2015","38%","","6,133","Concentration: (0-<=10)"
"06","California","06005","Amador","2015","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2015","62%","","10,027","Concentration: (not-detected)"
"06","California","06005","Amador","2016","0%","","74","Concentration: (0-<=10)"
"06","California","06005","Amador","2016","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2016","100%","","16,567","Concentration: (not-detected)"
"06","California","06005","Amador","2017","0%","","99","Concentration: (0-<=10)"
"06","California","06005","Amador","2017","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2017","100%","","26,141","Concentration: (not-detected)"
"06","California","06005","Amador","2018","0%","","34","Concentration: (0-<=10)"
"06","California","06005","Amador","2018","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2018","100%","","7,802","Concentration: (not-detected)"
"06","California","06005","Amador","2019","0%","","34","Concentration: (0-<=10)"
"06","California","06005","Amador","2019","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2019","100%","","16,061","Concentration: (not-detected)"
"06","California","06005","Amador","2020","0%","","69","Concentration: (0-<=10)"
"06","California","06005","Amador","2020","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2020","100%","","16,130","Concentration: (not-detected)"
"06","California","06007","Butte","1999","62%","","115,309","Concentration: (0-<=10)"
"06","California","06007","Butte","1999","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","1999","38%","","69,430","Concentration: (not-detected)"
"06","California","06007","Butte","2000","60%","","106,112","Concentration: (0-<=10)"
"06","California","06007","Butte","2000","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2000","40%","","71,772","Concentration: (not-detected)"
"06","California","06007","Butte","2001","14%","","12,828","Concentration: (0-<=10)"
"06","California","06007","Butte","2001","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2001","86%","","81,024","Concentration: (not-detected)"
"06","California","06007","Butte","2002","6%","","5,276","Concentration: (0-<=10)"
"06","California","06007","Butte","2002","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2002","94%","","81,765","Concentration: (not-detected)"
"06","California","06007","Butte","2003","59%","","105,495","Concentration: (0-<=10)"
"06","California","06007","Butte","2003","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2003","41%","","72,243","Concentration: (not-detected)"
"06","California","06007","Butte","2004","64%","","114,167","Concentration: (0-<=10)"
"06","California","06007","Butte","2004","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2004","36%","","63,030","Concentration: (not-detected)"
"06","California","06007","Butte","2005","58%","","112,769","Concentration: (0-<=10)"
"06","California","06007","Butte","2005","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2005","42%","","82,296","Concentration: (not-detected)"
"06","California","06007","Butte","2006","69%","","134,248","Concentration: (0-<=10)"
"06","California","06007","Butte","2006","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2006","31%","","60,687","Concentration: (not-detected)"
"06","California","06007","Butte","2007","58%","","113,399","Concentration: (0-<=10)"
"06","California","06007","Butte","2007","0%","","55","Concentration: (>10)"
"06","California","06007","Butte","2007","42%","","80,938","Concentration: (not-detected)"
"06","California","06007","Butte","2008","67%","","121,382","Concentration: (0-<=10)"
"06","California","06007","Butte","2008","0%","","0","Concentration: (>10)"
"06","California","06007","Butte","2008","33%","","60,679","Concentration: (not-detected)"
"06","California","06007","Butte","2009","64%","","124,737","Concentration: (0-<=10)"
"06","California","06007","Butte","2009","0%","","0","Concentration: (>10)"
