"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Number of people","Concentration"
"06","California","06003","Alpine","2002","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2002","100%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2003","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2003","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2003","100%","","2,700","Concentration: (not-detected)"
"06","California","06003","Alpine","2004","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2004","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2004","100%","","2,720","Concentration: (not-detected)"
"06","California","06003","Alpine","2005","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2005","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2005","100%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2006","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2006","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2006","100%","","2,700","Concentration: (not-detected)"
"06","California","06003","Alpine","2007","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2007","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2007","100%","","2,675","Concentration: (not-detected)"
"06","California","06003","Alpine","2008","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2008","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2008","100%","","2,751","Concentration: (not-detected)"
"06","California","06003","Alpine","2009","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2009","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2009","100%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2010","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2010","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2010","100%","","2,745","Concentration: (not-detected)"
"06","California","06003","Alpine","2011","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2011","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2011","100%","","2,720","Concentration: (not-detected)"
"06","California","06003","Alpine","2012","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2012","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2012","100%","","2,675","Concentration: (not-detected)"
"06","California","06003","Alpine","2013","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2013","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2013","100%","","2,821","Concentration: (not-detected)"
"06","California","06003","Alpine","2014","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2014","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2014","100%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2015","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2015","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2015","100%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2016","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2016","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2016","100%","","2,821","Concentration: (not-detected)"
"06","California","06003","Alpine","2017","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2017","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2017","100%","","2,650","Concentration: (not-detected)"
"06","California","06003","Alpine","2018","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2018","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2018","100%","","350","Concentration: (not-detected)"
"06","California","06003","Alpine","2019","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2019","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2019","100%","","625","Concentration: (not-detected)"
"06","California","06003","Alpine","2020","0%","","0","Concentration: (0-<=10)"
"06","California","06003","Alpine","2020","0%","","0","Concentration: (>10)"
"06","California","06003","Alpine","2020","100%","","650","Concentration: (not-detected)"
"06","California","06005","Amador","1999","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","1999","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","1999","100%","","6,784","Concentration: (not-detected)"
"06","California","06005","Amador","2000","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2000","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2000","100%","","31,016","Concentration: (not-detected)"
"06","California","06005","Amador","2001","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2001","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2001","100%","","5,700","Concentration: (not-detected)"
"06","California","06005","Amador","2002","28%","","2,386","Concentration: (0-<=10)"
"06","California","06005","Amador","2002","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2002","72%","","6,220","Concentration: (not-detected)"
"06","California","06005","Amador","2003","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2003","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2003","100%","","6,405","Concentration: (not-detected)"
"06","California","06005","Amador","2004","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2004","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2004","100%","","5,860","Concentration: (not-detected)"
"06","California","06005","Amador","2005","29%","","2,426","Concentration: (0-<=10)"
"06","California","06005","Amador","2005","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2005","71%","","5,895","Concentration: (not-detected)"
"06","California","06005","Amador","2006","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2006","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2006","100%","","5,810","Concentration: (not-detected)"
"06","California","06005","Amador","2007","24%","","160","Concentration: (0-<=10)"
"06","California","06005","Amador","2007","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2007","76%","","510","Concentration: (not-detected)"
"06","California","06005","Amador","2008","83%","","2,386","Concentration: (0-<=10)"
"06","California","06005","Amador","2008","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2008","17%","","490","Concentration: (not-detected)"
"06","California","06005","Amador","2009","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2009","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2009","100%","","110","Concentration: (not-detected)"
"06","California","06005","Amador","2010","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2010","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2010","100%","","160","Concentration: (not-detected)"
"06","California","06005","Amador","2011","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2011","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2011","100%","","2,581","Concentration: (not-detected)"
"06","California","06005","Amador","2012","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2012","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2012","0%","","0","Concentration: (not-detected)"
"06","California","06005","Amador","2013","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2013","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2013","100%","","14,773","Concentration: (not-detected)"
"06","California","06005","Amador","2014","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2014","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2014","100%","","15,094","Concentration: (not-detected)"
"06","California","06005","Amador","2015","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2015","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2015","100%","","15,579","Concentration: (not-detected)"
"06","California","06005","Amador","2016","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2016","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2016","100%","","16,221","Concentration: (not-detected)"
"06","California","06005","Amador","2017","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2017","0%","","0","Concentration: (>10)"
"06","California","06005","Amador","2017","100%","","25,959","Concentration: (not-detected)"
"06","California","06005","Amador","2018","0%","","0","Concentration: (0-<=10)"
"06","California","06005","Amador","2018","0%","","0","Concentration: (>10)"
